   ,CUSTOMER_NO,SO_DEBIT1,SO_LAN_GD1,SO_TIEN_DEBIT1,SO_TIEN_CREBIT1,SO_DEBIT2,SO_LAN_GD3,SO_TIEN_DEBIT2,SO_TIEN_CREBIT2,SO_DEBIT3,SO_LAN_GD3,SO_TIEN_DEBIT3,SO_TIEN_CREBIT3,SO_DEBIT4,SO_LAN_GD4,SO_TIEN_DEBIT4,SO_TIEN_CREBIT4,NGAY_MO,NAMSINH,SO_NGAY_FIST,SO_DU_HIEN_TAI,SEX
104,000074732,,,,,,,,,,,,,,,,,2/21/2014,1977,63,57087,M
105,000072000,77,91,218660514,247161901,61,69,158642185,118983851,66,79,118561972,130549569,52,61,86379367,63026568,11/13/2013,1974,5,54910,M
106,000071206,,,,,,,,,,,,,,,,,10/24/2013,1974,28,8205,M
107,000071140,,,,,,,,,,,,,,,,,10/24/2013,1977,27,2284,M
108,000072923,17,20,27541948,26000000,13,16,27236727,30000000,40,43,26650466,25000000,74,76,17986708,18000000,12/17/2013,1980,20,1742382,F
109,000071467,,,,,,,,,,,,,,,,,10/29/2013,1987,22,8768,M
110,000076543,,,,,,,,,,,,,,,,,4/10/2014,1979,43,3006,M
111,000070970,,,,,,,,,,,,,,,,,10/23/2013,1985,28,9866,M
112,000071432,1,3,850000,1022052,2,5,2600000,4223197,3,4,7200000,5329805,,,,,10/28/2013,1968,214,72354,M
113,000074601,,,,,,,,,,,,,,,,,2/20/2014,1969,64,898,M
114,000074544,9,10,23050000,3000000,,,,,,,,,,,,,2/19/2014,1962,65,59,M
115,000074697,,,,,,,,,,,,,,,,,2/24/2014,1963,60,163132,M
116,000071156,,,,,,,,,,,,,,,,,10/24/2013,1978,27,1557,M
117,000070955,,,,,,,,,,,,,,,,,10/23/2013,1978,28,6472,M
118,000070958,,,,,,,,,,,,,,,,,10/23/2013,1984,28,1499,M
119,000071073,,,,,,,,,,,,,,,,,10/23/2013,1990,28,6870,M
120,000071080,,,,,,,,,,,,,,,,,10/23/2013,1961,28,47094,M
121,000074604,,,,,,,,,,,,,,,,,2/20/2014,1969,64,3880,M
122,000074504,,,,,,,,,,,,,,,,,2/18/2014,1967,66,1526,M
123,000070569,,,,,,,,,,,,,,,,,10/3/2013,1990,5,51594,M
124,000076032,,,,,,,,,,,,,,,,,4/2/2014,1980,51,8518,M
125,000074822,,,,,,,,,,,,,,,,,2/24/2014,1963,60,4727,M
126,000071201,,,,,,,,,,,,,,,,,10/24/2013,1964,28,4828,M
127,000076070,,,,,,,,,,,,,,,,,4/2/2014,1990,21,3449,M
128,000074555,,,,,,,,,,,,,,,,,2/20/2014,1983,64,2,M
129,000071293,,,,,,,,,,,,,,,,,10/24/2013,1982,27,6076,M
130,000070918,,,,,,,,,,,,,,,,,10/22/2013,1970,30,1400,M
131,000070894,1,1,950000,0,,,,,,,,,,,,,10/23/2013,1964,29,86,M
132,000069528,,,,,,,,,,,,,,,,,9/4/2013,1989,34,96129,F
133,000071148,,,,,,,,,,,,,,,,,10/23/2013,1974,28,6661,M
134,000072100,,,,,,,,,,,,,,,,,11/22/2013,1970,27,373503,F
135,000070948,,,,,,,,,,,,,,,,,10/23/2013,1981,28,1559,F
136,000071030,,,,,,,,,,,,,,,,,10/24/2013,1982,27,1137,M
137,000071241,,,,,,,,,,,,,,,,,10/24/2013,1973,28,1874,M
138,000071242,,,,,,,,,,,,,,,,,10/24/2013,1974,28,2035,M
139,000071042,,,,,,,,,,,,,,,,,10/23/2013,1992,28,4167,M
140,000072411,,,,,,,,,,,,,,,,,11/27/2013,1986,0,138121,M
141,000071295,,,,,,,,,,,,,,,,,10/24/2013,1974,27,6331,M
142,000070921,,,,,,,,,,,,,,,,,10/23/2013,1971,28,7149,F
143,000071157,,,,,,,,,,,,,,,,,10/24/2013,1972,28,102100,M
144,000071166,,,,,,,,,,,,,,,,,10/24/2013,1976,27,3205756,M
145,000071034,,,,,,,,,,,,,,,,,10/24/2013,1982,27,3018,M
146,000071114,,,,,,,,,,,,,,,,,10/23/2013,1982,28,8721,M
147,000071115,,,,,,,,,,,,,,,,,10/23/2013,1974,28,120926,M
148,000071170,,,,,,,,,,,,,,,,,10/23/2013,1984,28,2367,M
149,000071097,,,,,,,,,,,,,,,,,10/23/2013,1982,28,32430,F
150,000071240,,,,,,,,,,,,,,,,,10/24/2013,1986,27,11115,M
151,000071171,,,,,,,,,,,,,,,,,10/24/2013,1973,27,1925,M
152,000071132,,,,,,,,,,,,,,,,,10/24/2013,1980,27,7488,M
153,000071253,,,,,,,,,,,,,,,,,10/24/2013,1973,28,6774,M
154,000071267,,,,,,,,,,,,,,,,,10/24/2013,1975,28,7609,M
155,000070936,,,,,,,,,,,,,,,,,10/23/2013,1973,28,1244,M
156,000074843,,,,,,,,,,,,,,,,,2/24/2014,1986,60,7388,M
157,000074766,,,,,,,,,,,,,,,,,2/21/2014,1959,63,43482,M
158,000096893,18,23,17750000,21398679,37,47,29080000,29134129,20,28,28074000,24492397,,,,,7/5/2016,1994,27,28829,F
159,000070543,,,,,,,,,,,,,,,,,10/2/2013,1986,6,58921,M
160,000076436,,,,,,,,,,,,,,,,,4/7/2014,1990,313,98533,M
161,000074669,,,,,,,,,,,,,,,,,2/21/2014,1985,63,7008,M
162,000074671,,,,,,,,,,,,,,,,,2/21/2014,1975,63,4522,M
163,000074875,,,,,,,,,,,,,,,,,2/24/2014,1972,60,1002,M
164,000074880,,,,,,,,,,,,,,,,,2/24/2014,1961,60,7565,M
165,000070060,5,7,12900000,11715048,3,7,15000000,15841671,7,10,21400000,20574947,6,7,13900000,5550174,9/23/2013,1990,58,189230,F
166,000071136,,,,,,,,,,,,,,,,,10/23/2013,1989,35,4890,F
167,000074588,,,,,,,,,,,,,,,,,2/20/2014,1962,64,7281,M
168,000075984,,,,,,,,,,,,,,,,,4/1/2014,1978,70,5131,M
169,000076069,,,,,,,,,,,,,,,,,4/2/2014,1976,219,4658,M
170,000074077,,,,,,,,,,,,,,,,,1/21/2014,1982,0,496259,M
171,000070153,,,,,,,,,,,,,,,,,9/25/2013,1991,13,52098,F
172,000071232,,,,,,,,,,,,,,,,,10/24/2013,1992,27,4933,M
173,000074469,,,,,,,,,,,,,,,,,2/20/2014,1964,64,8054,M
174,000074472,,,,,,,,,,,,,,,,,2/20/2014,1968,64,1749,M
175,000074718,,,,,,,,,,,,,,,,,2/20/2014,1958,64,7702,M
176,000074506,,,,,,,,,,,,,,,,,2/18/2014,1982,66,82983,M
177,000074856,,,,,,,,,,,,,,,,,2/24/2014,1982,60,5717,M
178,000074397,,,,,,,,,,,,,,,,,2/20/2014,1971,64,3207,M
179,000074559,,,,,,,,,,,,,,,,,2/20/2014,1980,64,4848,M
180,000072865,4,6,52113095,52000000,3,5,1444443,2650000,2,3,58396394,57087000,,,,,12/10/2013,1983,0,6296,F
181,000077465,,,,,,,,,,,,,,,,,5/21/2014,2089,35,3627,M
182,000076970,,,,,,,,,,,,,,,,,4/29/2014,1984,30,105329,M
183,000072973,,,,,,,,,,,,,,,,,12/12/2013,1967,14,286216,F
184,000076981,,,,,,,,,,,,,,,,,4/26/2014,1982,59,56056,M
185,000077381,,,,,,,,,,,,,,,,,5/21/2014,1972,20,87203,M
186,000076833,,,,,,,,,,,,,,,,,4/23/2014,1979,48,4164,M
187,000074960,,,,,,,,,,,,,,,,,2/25/2014,1960,59,1991,M
188,000077479,,,,,,,,,,,,,,,,,5/21/2014,1986,20,76089,M
189,000074465,,,,,,,,,,,,,,,,,2/18/2014,1962,66,4244,M
190,000074441,,,,,,,,,,,,,,,,,2/18/2014,1973,66,5473,M
191,000074831,,,,,,,,,,,,,,,,,2/24/2014,1971,60,6727,M
192,000077777,,,,,,,,,,,,,,,,,6/4/2014,1974,254,296364,M
193,000074427,,,,,,,,,,,,,,,,,2/18/2014,1957,66,2545,M
194,000082908,,,,,,,,,,,,,,,,,12/8/2014,1981,0,51803,M
195,000076759,,,,,,,,,,,,,,,,,4/21/2014,1988,113,1724,M
196,000080380,20,27,34836414,34853000,12,18,23234989,23300000,23,29,23887218,23800000,16,20,510024256,510157000,9/8/2014,1977,0,114807,M
197,000076072,,,,,,,,,,,,,,,,,4/2/2014,1985,21,1281,M
198,000081762,1,2,500000000,500000000,,,,,,,,,,,,,10/21/2014,1971,0,213505,M
199,000074867,,,,,,,,,,,,,,,,,2/24/2014,1971,60,5943,M
200,000074735,,,,,,,,,,,,,,,,,2/21/2014,1967,63,1122,M
201,000078965,,,,,,,,,,,,,,,,,7/16/2014,1970,1,71248,F
202,000076054,,,,,,,,,,,,,,,,,4/2/2014,1986,51,3302,M
203,000080685,,,,,,,,,,,,,,,,,9/12/2014,1971,3,2647,M
204,000077349,,,,,,,,,,,,,,,,,5/16/2014,1989,25,59941,M
205,000074738,,,,,,,,,,,,,,,,,2/21/2014,1974,63,672,M
206,000084099,40,43,5922229,7505295,30,32,13003855,11500000,19,20,12017231,12000000,7,8,451000,225,1/26/2015,1991,0,138272,M
207,000074478,,,,,,,,,,,,,,,,,2/20/2014,1955,64,83478,M
208,000074762,,,,,,,,,,,,,,,,,2/21/2014,1987,63,7759,M
209,000085106,74,78,17560031,18300000,93,97,18337589,17900000,103,107,17848215,18200000,61,65,28032710,28000000,3/26/2015,1979,0,571372,M
210,000078354,15,16,26129000,27000000,1,1,950000,0,,,,,0,1,0,1000000,6/25/2014,1987,0,1076574,M
211,000078950,61,64,21651674,21750000,58,59,7507265,7420000,38,41,21609401,21700000,69,71,16616174,16500000,7/16/2014,1988,0,95,M
212,000076594,,,,,,,,,,,,,,,,,4/11/2014,1989,12,5538,M
213,000077410,,,,,,,,,,,,,,,,,5/19/2014,1991,22,292289,M
214,000078493,,,,,,,,,,,,,,,,,6/30/2014,1977,25,6245,M
215,000076056,,,,,,,,,,,,,,,,,4/2/2014,1983,36,2948,M
216,000079038,,,,,,,,,,,,,,,,,7/22/2014,1989,0,6297,F
217,000077261,,,,,,,,,,,,,,,,,5/12/2014,1986,36,67699,M
218,000076033,,,,,,,,,,,,,,,,,3/31/2014,1983,74,6126,M
219,000077339,,,,,,,,,,,,,,,,,5/16/2014,1985,25,72932,M
220,000077342,10,13,20650000,20849385,11,14,19335000,18997150,10,13,20050000,20134805,8,11,13900000,13807305,5/16/2014,1989,25,100261,M
221,000074558,,,,,,,,,,,,,,,,,2/20/2014,1979,64,6843,M
222,000078944,8,11,16865778,16500000,9,12,17268778,16200000,11,14,15281444,16000000,12,14,10256842,10800000,7/16/2014,1983,0,1741641,M
223,000086002,,,,,,,,,,,,,,,,,5/4/2015,1975,0,80517,F
224,000074753,,,,,,,,,,,,,,,,,2/21/2014,1963,63,54802,M
225,000087002,,,,,,,,,,,,,,,,,6/5/2015,1969,0,50976,M
226,000076073,,,,,,,,,,,,,,,,,4/2/2014,1983,44,25,M
227,000074787,,,,,,,,,,,,,,,,,2/24/2014,1967,60,1492,M
228,000074370,,,,,,,,,,,,,,,,,2/19/2014,1988,65,1617,M
229,000074772,,,,,,,,,,,,,,,,,2/21/2014,1984,63,6216,M
230,000072835,,,,,,,,,,,,,,,,,12/9/2013,1976,85,14,F
231,000074792,,,,,,,,,,,,,,,,,2/24/2014,1985,60,6257,M
232,000074852,,,,,,,,,,,,,,,,,2/24/2014,1972,60,4924,M
233,000097064,1,3,2000000,5750000,8,12,16500000,14000000,0,1,0,2750000,,,,,7/12/2016,1977,56,3919174,M
234,000082905,74,76,22039999,22000000,73,75,43007653,43000000,58,61,23827152,24600000,104,109,33328922,32795000,12/5/2014,1983,20,261625,F
235,000087055,18,21,36000000,36000000,18,21,36000000,36000000,18,21,36000000,36000000,13,15,26000000,26500000,6/9/2015,1962,28,543845,F
236,000093706,67,67,302366638,0,86,86,306420361,0,48,48,79282136,0,46,50,89562157,180000000,3/17/2016,1973,1,101556610,F
237,000093045,14,21,17200000,17140000,12,16,12700000,12900000,11,17,16200000,16737900,21,26,17800000,17485684,2/4/2016,1993,54,515225,M
238,000087621,,,,,,,,,,,,,,,,,6/29/2015,1972,0,6191,F
239,000093849,87,104,29123753,72572205,94,109,25274200,62401494,72,90,31828000,256096616,61,77,88181400,45487936,3/28/2016,1987,1,14051804,M
240,000092502,,,,,,,,,,,,,,,,,1/11/2016,1989,0,151994,M
241,000091988,,,,,,,,,,,,,,,,,12/17/2015,1985,0,163443,M
242,000091359,,,,,,,,,,,,,,,,,11/18/2015,1974,22,313097,F
243,000089011,,,,,,,,,,,,,,,,,8/17/2015,1977,31,5614299,F
244,000090080,,,,,,,,,,,,,,,,,10/2/2015,1953,0,3517,F
245,000087813,,,,,,,,,,,,,,,,,7/2/2015,1975,0,1634,M
246,000094583,4,10,20000000,79019448,24,29,104700000,48506183,3,5,11600000,17581598,,,,,4/13/2016,1988,92,8817138,F
247,000094553,18,22,33550000,25151756,17,24,26642000,34920161,23,35,32698000,36548067,27,41,36643901,36574306,4/12/2016,1993,15,7260982,M
248,000092499,,,,,,,,,,,,,,,,,1/11/2016,1983,0,151994,M
249,000089517,4,8,274187500,304000000,8,12,300194445,285000000,5,8,295673611,310000000,4,8,296352084,350000000,9/8/2015,1973,0,77824763,M
250,000092492,,,,,,,,,,,,,,,,,1/11/2016,1983,0,1488,M
251,000094849,5,11,39501134,29850000,1,4,25000000,29550000,17,23,36066369,31750000,16,20,18527899,24850000,4/27/2016,1961,47,6827605,M
252,000088404,,,,,,,,,,,,,,,,,7/29/2015,1968,0,284740,M
253,000087753,,,,,,,,,,,,,,,,,7/1/2015,1988,0,604782,M
254,000092917,12,18,19840000,19868892,13,19,17250000,17251530,10,15,16800000,16871270,13,18,27900000,27905180,2/4/2016,1965,54,67021,M
255,000093540,6,9,19845831,26000000,5,7,20392259,17000000,6,8,19223627,13500000,6,10,20004504,123998883,3/8/2016,1951,0,102449879,F
256,000090272,,,,,,,,,,,,,,,,,10/8/2015,1990,0,1458600,M
257,000097389,0,1,0,50000,,,,,,,,,,,,,7/27/2016,1989,0,6128,F
258,000100291,,,,,,,,,,,,,,,,,10/11/2016,1991,20,1069931,F
259,000092927,13,19,24519800,28110000,25,30,58339600,53238337,5,8,9100000,13740000,3,3,3006600,0,2/4/2016,1977,54,1695720,M
260,000100616,,,,,,,,,,,,,,,,,10/25/2016,1988,127,10485808,F
261,000099852,,,,,,,,,,,,,,,,,9/28/2016,1994,12,2768900,M
262,000097882,3,5,6141667,6191667,6,9,17082254,17082254,6,9,17217825,17217825,6,10,18101235,18102198,8/4/2016,1993,0,53023,F
263,000098485,2,8,350988500,751060000,23,32,831076749,1032800000,20,24,125621114,145345833,7,11,50895919,46400000,8/17/2016,1975,0,387698,M
264,000096319,4,7,511116667,511170000,15,19,33589911,33606000,13,16,33418239,33350000,15,20,34447222,35970000,8/12/2016,1971,0,1519597,M
265,000099543,0,1,0,4782988,14,24,14240000,24750829,40,54,36247016,33332812,39,50,42636082,38152806,9/19/2016,1994,10,7853091,F
266,000101540,,,,,,,,,,,,,,,,,11/28/2016,1955,11,764162,M
267,000099945,,,,,,,,,,,,,,,,,9/30/2016,1975,116,63732,F
268,000100306,,,,,,,,,,,,,,,,,10/12/2016,1992,19,8822784,F
269,000105440,,,,,,,,,,,,,,,,,5/23/2017,1994,0,32423,M
270,000102604,,,,,,,,,,,,,,,,,1/11/2017,1980,14,8694384,F
271,000102622,,,,,,,,,,,,,,,,,1/11/2017,1972,12,24004145,M
272,000098948,0,1,0,1000000,,,,,1,2,31000000,1031172222,,,,,9/1/2016,1969,4,1091003,M
273,000102607,,,,,,,,,,,,,,,,,1/11/2017,1981,14,111478,M
274,000102643,,,,,,,,,,,,,,,,,1/11/2017,1988,14,180266,M
275,000102952,,,,,,,,,,,,,,,,,2/9/2017,1995,0,1219781,F
276,000104754,,,,,,,,,,,,,,,,,4/20/2017,1995,41,4175401,F
277,000102625,,,,,,,,,,,,,,,,,1/10/2017,1988,0,20524470,F
278,000103632,,,,,,,,,,,,,,,,,3/6/2017,1981,4,45878329,M
279,000103895,,,,,,,,,,,,,,,,,3/15/2017,1988,0,58549,M
280,000019473,,,,,,,,,,,,,,,,,7/4/2009,1983,127,13190,M
281,000018599,,,,,,,,,,,,,,,,,10/24/2008,1972,811,2189211,M
