X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X2,Amount4,Amount3,Amount2,Amount1,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,51409,51409,51409,51409,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,54562,54562,54562,54562,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,353,1,4206,4206,4206,4206,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,165,0,52887,52887,52887,52887,1
6,10,21600000,21616246,7,11,25800000,25736097,6,9,21300000,21267444,1,2,2800000,2894502,25,15,0,145767,240269,207713,143810,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,316,0,56902,56902,56902,56902,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,316,0,342103,342103,342103,342103,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,103813,103813,103813,103813,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,64,1,1548,1548,1548,1548,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,0,426901,426901,426901,426901,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,0,51648,51648,51648,51648,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,0,97013,97013,97013,97013,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,509,0,84546,84546,84546,84546,1
3,3,23168,0,1,1,1,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,1,6234,6234,6234,6234,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,60,1,6089,6089,6089,6089,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,1,8413,8413,8413,8413,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,87299,87299,87299,87299,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,64,1,2643,2643,2643,2643,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,1,5176,5176,5176,5176,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,43,1,8243,8243,8243,8243,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28,1,8444,8444,8444,8444,-1
