X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X3,X2,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,1515,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3.00E+01,103093,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6.60E+01,3600,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,313,73253,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5.90E+01,56056,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.00E+01,103045,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,61,5428,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,99,3047,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,51,6347,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6.40E+01,6922,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6.40E+01,6538,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,4175,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6.60E+01,6733,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6.60E+01,4244,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,6.30E+01,653,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6.00E+01,7150,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,96,976809,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,51517,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,45,6412,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6.00E+01,7911,1,-1
2,3,3191222,3000000,4,6,5009111,5000000,2,4,3474556,4000000,2,4,202197619,202210000,41,0,597170,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5.20E+02,36055,1,-1
8,11,15866583,15850000,6,10,92467972,95900000,3,4,4720000,1500000,3,7,4958622,16000000,34,0,11327855,0,1
10,11,7884000,8000000,0,0,0,0,4,5,3793040,6000000,4,5,3444800,12000000,46,19,10861906,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.13E+02,1724,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35,67397,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,7006,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2.80E+01,2876,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,412,123146,0,1
15,18,23879000,200031556,12,15,24000000,500000,7,10,15000000,1400036111,1,3,413300000,1400009722,61,61,180491,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4.50E+01,54095,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,924,215145,0,1
1,2,2000000,2124532,4,6,4500000,4477414,3,4,1900000,1926410,0,0,0,0,26,28,35483,0,1
6,9,15321250,15100000,6,9,14975000,15000000,7,10,14903750,14500000,5,8,32398225,32000000,42,0,55652,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,6.30E+01,6773,1,-1
